118,Manunggal 118,7800000.0,7,25
106,Sate B,6100000.0,8,25
56,Sate A,10500000.0,8,25
123,Mantang 123,11400000.0,8,15
421,Jalan A,5000000.0,7,25
99,Lagoa,9800000.0,9,25
130,Korma B,7500000.0,8,25
58,Korma A,9000000.0,10,25
73,Korma C,6800000.0,7,25
170,Krematorium,19100000.0,8,20
433,Kelapa B,6400000.0,8,25
65,Bambu 65,11200000.0,9,20
444,Bhakti 444,6800000.0,8,25
131,Kelapa 131,12100000.0,7,25
57,Kelapa 57,9300000.0,8,25
439,Kelapa 439,6400000.0,7,25
184,Sawah Baru,8900000.0,8,25
1,Sawah 1,11100000.0,9,25
155,Merdeka A,18300000.0,8,25
237,Pelabuhan 237,12000000.0,8,20
141,Bhakti 141,9200000.0,7,25
135,RW 02 135,9900000.0,8,25
233,Pelabuhan 233,13000000.0,8,20
236,Pelabuhan 236,14600000.0,9,20
439,Nakula,5600000.0,7,25
62,RW 01 B 62,15500000.0,9,25
117,RW 01 A 117,5000000.0,6,25
423,Kampung Kandang,7600000.0,8,25
214,Walang B,12700000.0,10,25
416,Jl. B,7800000.0,9,25
132,Mundu 132,9900000.0,7,25
139,Beting 139,9100000.0,8,25
140,Beting 140,9900000.0,10,25
109,Cipucang 109,7700000.0,8,25
143,Pelelangan B,9900000.0,10,25
431,Cemara C,7400000.0,8,25
435,Kelapa Hijau,5300000.0,7,25
434,durian,6800000.0,8,25
64,Pelelangan A,16500000.0,11,25
441,mandiri,8100000.0,9,25
40,Kapling A,10200000.0,10,20
314,tipar timur 314,7900000.0,9,25
308,kelapa k 308,8100000.0,9,25
34,Mantang 34,6500000.0,7,25
306,Jalan A 306,5300000.0,7,25
343,mini A,15800000.0,9,25
323,melur g,9400000.0,8,25
321,mawar k,9900000.0,9,25
317,mawar E,10900000.0,10,25
319,mawar j,7900000.0,9,25
329,Jampea 329,5600000.0,7,20
278,rw 02. E,7600000.0,7,25
04,rw 02 c,9800000.0,9,20
318,mindi 318,6200000.0,7,25
316,mantang 316,7000000.0,8,25
357,Belimbing B 357,6200000.0,7,25
339,Merdeka B 339,12600000.0,7,25
294,kandang 294,7400000.0,8,25
9,kampung kandang 9,8000000.0,8,25
284,kampung kandang 284,6500000.0,8,25
19,Kandang 19,8000000.0,9,25
298,Beting Asem 298,7900000.0,9,25
351,Merin B,7000000.0,8,25
325,marine a 325,10300000.0,8,25
311,Banteng B 311,7200000.0,9,25
290,Belimbing 290,6000000.0,7,25
279,Pelabuhan A 279,5000000.0,7,20
355,pelabuhan b 355,6600000.0,7,16
293,jampea 293,4800000.0,6,20
322,Tipar 322,7200000.0,8,25
295,por timur 295,6200000.0,7,16
305,Jl.FG 305,10000000.0,10,25
307,jl. fH 307,8800000.0,9,25
282,keb. baru 282,6600000.0,8,25
280,kampung kurus 280,5800000.0,7,20
327,Gang Kelapa 327,7000000.0,9,25
37,Banten E 37,9100000.0,10,25
20,Jalan B 20,6800000.0,8,25
361,Angsana C 361,5800000.0,7,25
15,Tipar Timur,9000000.0,10,25
349,Kapling B,6400000.0,8,20
315,Lontar D,11700000.0,10,25
313,Lontar A,8400000.0,7,25
28,Marine D,6600000.0,7,25
371,Jalan F I,7200000.0,8,20
292,Blok R 292,6000000.0,7,16
309,Banteng A 309,7400000.0,9,25
353,lorong B,5000000.0,6,25
337,Mahoni A,10400000.0,10,20
312,Tipar 312,6600000.0,8,25
335,melur a,16700000.0,9,20
304,Jl.A 304,6200000.0,7,25
369,Cipucang E 369,9600000.0,10,25
345,Badak A 345,14600000.0,9,20
5,marine 5,10000000.0,10,25
347,Badak B 347,6600000.0,8,20
302,Banten F 302,10200000.0,10,25
10,Cabe C 10,6200000.0,7,25
296,Cabe D 296,5800000.0,6,25
297,Kelapa C,18300000.0,9,25
300,mantang 300,6600000.0,8,25
320,Tipar 320,6000000.0,7,25
7,jl. F A 7,8800000.0,9,25
32,Jl. F C 32,9200000.0,8,20
363,Jampea C 363,7600000.0,9,25
247,Deli  E  247,5700000.0,7,20
255,uka 255,7000000.0,7,25
S. 249,Melintang B 249,7700000.0,8,25
S.90,Melintang 90,6400000.0,8,25
262,Bhakti 262,5900000.0,9,25
258,Kampar B 258,6000000.0,7,25
244,Blok F A 244,7800000.0,8,25
87,Irnuf A 87,6800000.0,7,25
229,Dukuh  C  229,9600000.0,9,25
264,Bhakti 264,5700000.0,7,25
271,Jl. F F 271,6400000.0,7,20
269,Jl. F E 269,7600000.0,7,20
31,Lagoa 31,6400000.0,7,25
275,Duren A 275,7400000.0,8,25
299,Kelapa D,19500000.0,10,25
277,Sindang 277,8500000.0,10,25
274,Pepaya F 274,7800000.0,8,25
272,Pepaya E 272,6600000.0,8,25
281,Sindang 281,6700000.0,9,20
267,Manunggal C 267,5800000.0,7,25
268,Dukuh 268,6200000.0,6,25
245,Blok F B 245,7400000.0,7,25
241,Pasir D 241,9000000.0,10,25
89,Pasir A  89,11500000.0,9,25
188,Pasir  B  188,6600000.0,7,25
21,JL. B RBU A 21,8500000.0,10,20
86,Empang A 86,6800000.0,9,25
291,Sawah F 291,8300000.0,10,20
97,Kamboja A 97,9200000.0,8,25
270,Dukuh 270,7200000.0,8,25
23,Sawah C,7000000.0,7,20
26,JL. B2 RBU B 26,8600000.0,10,20
276,Mundu C 276,7100000.0,8,25
359,Beting F 359,6400000.0,7,25
263,Kamboja B,4800000.0,6,25
301,Lontar B 301,8700000.0,7,25
2,Bhakti 2,5500000.0,7,25
253,Bulak B 253,10200000.0,9,25
16,Kelapa G,9100000.0,9,25
3,Jalan A D,8400000.0,9,25
286,Marine E,6200000.0,7,25
102,Pelita B,8800000.0,8,25
310,Tipar 310,5000000.0,6,25
283,Sindang 283,6600000.0,9,20
257,Lorong 257,6400000.0,8,25
252,Kelapa B 252,17500000.0,8,25
204,Pasir C 204,6400000.0,7,25
94,Bhakti 94,13900000.0,10,25
243,Jl. B2 RBU C,7200000.0,8,20
430,UKA E 430,8000000.0,10,25
225,Deli A 225,7500000.0,9,20
218,Binangun G 218,8700000.0,10,25
93,Manunggal A 93,9300000.0,8,25
205,JLN . Blog G / 205,2600000.0,4,20
248,Deli F 248,6200000.0,7,20
201,Anggrek C / 201,6400000.0,7,20
200,Anggrek B / 200,4400000.0,6,20
227,Deli C 227,9200000.0,10,20
234,Pelabuhan A 234,6400000.0,9,20
231,Mantang F 231,7200000.0,8,25
230,Kosambi E 230,6200000.0,7,25
232,Mantang G 232,8200000.0,8,25
235,Kosambi F 235,7900000.0,7,25
100,Kampar A 100,8600000.0,10,25
96,Waru A 96,5600000.0,6,25
238,Dukuh A 238,8400000.0,8,20
251,Kelapa A 251,19300000.0,10,25
199,Kelapa j  / 199,7400000.0,8,25
85,Binangun A 85,9800000.0,10,25
195,Deperla B 195,7000000.0,7,25
203,Manggar B / 203,8200000.0,9,25
202,Manggar 202,8400000.0,9,25
198,Kelapa I / 198,6600000.0,8,25
79,Landak 79,12200000.0,8,25
223,Pepaya B 223,6600000.0,7,20
191,Bulak C 191,10700000.0,10,25
228,Sindang 228,7800000.0,9,20
18,Bebek B 18,9800000.0,10,25
212,Semprotan G 212,4700000.0,6,25
211,Semprotan C 211,5600000.0,6,25
219,Binangun H 219,6600000.0,9,25
74,Bambu 74,9500000.0,7,25
190,Bulak A 190,9400000.0,9,25
220,Rw 02 B 220,15800000.0,9,20
285,Dwi Tunggal 285,11900000.0,7,25
182,Banten 182,7000000.0,8,25
239,Dukuh B 239,7200000.0,7,20
179,Kosambi E 179,6000000.0,7,25
