mantang 300,300,25,7
jl. F A 7,7,25,9
Jl. F C 32,32,20,8
mindi 318,318,25,7
mantang 316,316,25,8
Belimbing B 357,357,25,7
Merin B,351,25,8
Tipar 322,322,25,8
Cipucang E,369,25,10
Banten F,302,25,10
Jalan B 20,20,25,8
Angsana C,361,25,7
Tipar Timur,15,25,10
Kapling B,349,20,8
Lontar D,315,25,10
Lontar A,313,25,7
Marine D,28,25,7
Jalan F I,371,20,8
Beting Asem,298,25,9
Banten E,37,25,10
lorong B,353,25,6
Mahoni A,337,20,10
Tipar 312,312,25,8
melur a,335,20,9
Jl.A 304,304,25,7
cabe D,296,25,6
marine 5,5,25,10
Lontar B 301,301,25,7
Tipar 320,320,25,7
Kelapa G,16,25,9
beting f,359,25,7
Jalan A D,3,25,9
Marine E,286,25,7
Melati A1 207,207,20,9
UKA E 430,430,25,10
Deli A 225,225,20,9
Bebek B 18,18,25,9
JLN . Blog G / 205,205,20,4
Jampea C 363,363,25,9
Tipar 310,310,25,6
Sindang 283,283,20,9
bulak B 253,253,25,9
uka 255,255,25,7
Duren A 275,275,25,8
Melintang B 249,S. 249,25,8
Melintang 90,S.90,25,8
bhakti 2,2`,25,7
Kampar B 258,258,25,7
Bhakti 264,264,25,7
Irnuf A 87,87,25,7
Bhakti 94,94,25,10
Bhakti 262,262,25,9
Empang A 86,86,25,9
Jl. F F 271,271,20,7
Jl. F E 269,269,20,7
Lagoa 31,31,25,7
Dukuh 268,268,25,6
Dukuh 270,270,25,8
Lorong 257,257,25,8
Pepaya F 274,274,25,8
Kelapa D,299,25,10
Sindang 281,281,20,9
Sindang 277,277,25,10
Pepaya E 272,272,25,8
Manunggal C 267,267,25,7
Deli  E  247,247,20,7
Dukuh  C  229,229,25,9
Pasir  B  188,188,25,7
Deli  D  246,246,20,8
Pasir D 241,241,25,10
Pasir C 204,204,25,7
Kelapa B 252,252,25,8
Pasir A  89,89,25,9
Blok F A 244,244,25,8
Blok F B 245,245,25,7
Kamboja A 97,97,25,8
JL. B RBU A 21,21,20,10
JL. B2 RBU B 26,26,20,10
Kamboja B,263,25,6
Sawah C,23,20,7
Mundu C,276,25,8
Sawah F 291,291,20,10
Jln B 266,266,25,8
Kampar A 100,100,25,10
Beting E,273,25,8
Jl. B2 RBU C,243,20,8
Empang B 260,260,25,8
Manunggal A 93,93,25,8
Irnuf B 261,261,25,7
Lorong 259,259,20,7
Dwi Tunggal 285,285,25,7
Anggrek C / 201,201,20,7
Anggrek B / 200,200,20,6
Anggrek A / 6,S. 6,20,8
Cipucang B,108,25,6
bhakti 242,242,25,9
Deli f  248,248,20,7
Pepaya D 250,250,25,8
Kosambi G 91,91,25,8
Deli C 227,227,20,10
Pelabuhan A 234,234,20,9
Mantang F 231,231,25,8
Kosambi E 230,230,25,7
Mantang G 232,232,25,8
Kosambi F 235,235,25,7
Waru A 96,96,25,6
Dukuh A 238,238,20,8
Kelapa A 251,251,25,10
Dukuh B 239,239,20,7
Kelapa j  / 199,199,25,8
Beting D 208,208,25,8
Deperla B 195,195,25,7
Manggar B / 203,203,25,9
Manggar 202,202,25,9
Kelapa I / 198,198,25,8
Landak 79,79,25,8
Binangun H 219,219,25,9
Pepaya B 223,223,20,7
Banten 215,215,25,8
Sindang 228,228,20,9
Anggrek D 222,222,25,8
Semprotan G 212,212,25,6
Semprotan C 211,211,25,6
Belimbing A 210,210,25,8
Bambu 74,74,25,7
Bambu 177,177,25,7
Bulak A 190,190,25,9
Rw 02 B 220,220,20,9
Binangun G 218,218,25,10
Binangun A 85,85,25,10
Banten 83,83,25,8
Melati A1 213,213,20,9
Binangun F 185,185,25,10
Landak 197,197,25,7
Banten 182,182,25,8
Kosambi E 179,179,25,7
Bulak C 191,191,25,10
Jl. B Lagoa H 206,206,20,10
Macan F   S.196,S. 196,25,7
Macan E / S. 181,181,25,7
Deperla  A  / 194,194,25,7
Nelayan D 186,186,25,7
Gang 2 Blok R A 209,209,25,10
Deli B 226,226,20,8
Pepaya Raya A 224,224,25,7
Angsana B,173,25,8
Bambu 176,176,25,8
Buntu 88,88,25,8
Beting C 174,174,25,9
Jl.B Lagoa G 154,154,25,6
Sawah I,377,25,8
Mawar I 158,158,25,6
Yon Air 401,401,25,9
Macan C,192,20,6
Nelayan C 77,77,25,7
kelapa k 308,308,25,9
Macan A 75,75,25,7
Pelita B,102,25,8
Sindang C 333,333,20,9
Kamboja C 287,287,25,8
Pepaca C 240,240,20,7
Banten 183,183,25,6
Buntu B 167,167,15,9
Kapal D 168,168,25,8
Semprotan B 63,63,25,7
Jl.B Lagoa 153,153,25,6
Jalan A Lagoa E 164,164,15,8
Mantang A,8,25,8
