branch_code,name,code,description,address,collection_day,collection_schedule
b13,3.39 Kebon Bawang,3.39,,Kebon Bawang,Senin,
b13,3.4 Lestari,3.4,,Lestari,Selasa,
b13,3.40 Warakas,3.40,,Warakas,Senin,
b13,3.41 Bahari,3.41,,Bahari,Selasa,
b13,3.42 Papanggo,3.42,,Papanggo,Selasa,
b13,3.43 Dault,3.43,,Dault,Rabu,
b13,3.44 Warakas,3.44,,Warakas,Rabu,
b13,3.45 Lagoa Kanal,3.45,,Lagoa Kanal,Rabu,
b13,3.46 At-Taubah,3.46,,At-Taubah,Senin,
b13,3.48 Warakas,3.48,,Warakas,Rabu,
b13,3.49 Mandiri,3.49,,Mandiri,Senin,
b13,3.5 Tanah Merah,3.5,,Tanah Merah,Kamis,
b13,3.50 Warakas,3.50,,Warakas,Senin,
b13,3.51 Warakas,3.51,,Warakas,Senin,
b13,3.53 Tanah Merah,3.53,,Tanah Merah,Rabu,
b13,3.55 Bahari,3.55,,Bahari,Selasa,
b13,3.56 Warakas,3.56,,Warakas,Senin,
b13,3.58 Kebon Bawang,3.58,,Kebon Bawang,Rabu,
b13,3.59 Tanah Merah,3.59,,Tanah Merah,Senin,
b13,3.6 Cemara,3.6,,Cemara,Rabu,
b13,3.60 Enim,3.60,,Enim,Rabu,
b13,3.61 Sungai Tiram,3.61,,Sungai Tiram,Senin,
b13,3.62 Bakti Priok,3.62,,Bakti Priok,Selasa,
b13,3.63 UKA,3.63,,UKA,Selasa,
b13,3.64 Deperla,3.64,,Deperla,Kamis,
b17,3.65 UKA,3.65,,UKA,Senin,
b13,3.66 Kebon Bayam,3.66,,Kebon Bayam,Senin,
b13,3.67 Kebon Bawang,3.67,,Kebon Bawang,Rabu,
b13,3.68 Tanah Merah,3.68,,Tanah Merah,Kamis,
b13,3.69 Rawa Sengon,3.69,,Rawa Sengon,Selasa,
b13,3.70 Papanggo,3.70,,Papanggo,Selasa,
b13,3.71 Sutim,3.71,,Sutim,Rabu,
b13,3.72 Swasembada,3.72,,Swasembada,Rabu,
b13,3.73 Bahari,3.73,,Bahari,Selasa,
b13,3.74 Bahari,3.74,,Bahari,Rabu,
b13,3.75 Warakas,3.75,,Warakas,Kamis,
b13,3.76 Kobra,3.76,,Kobra,Rabu,
