id,nama,code,alamat ,deskripsi
1,Koja,b11,"Jalan Bandar Raya, RT 004/RW 06 no 35, Kelurahan Rawa Badak Selatan, Jakarta Utara.",
2,Cilincing,b12,,
3,Sukapura,b13,"Jalan Bandar Raya, RT 004/RW 06 no 35, Kelurahan Rawa Badak Selatan, Jakarta Utara.",
4,Marunda,b14,"Jalan kebantenan III No 26A RT 004/04, kel semper timur, kec cilincing, jakarta utara. 14130",
5,Kalibaru,b15,"Jalan baru gang 2 no 27 RT 013 RW 01, kel cilincing, kec cilincing, jakarta utara. 14120",
6,Tanjung Priok,b16,,
7,Cakung,b17,"Kapling Tipar Timur RT 018 RW 04 Blok B no 8, Kelurahan Semper Barat, Kecamatan Cilincing, Jakarta Utara",
